date,ltp,change_in_ltp,roc_oi,roc_volume,roc_iv,coi_vol_ratio,spot_price,symbol
2026-02-20 09:15:00+05:30,139.3,0.0,0.0,0.0,0.0,0.0,25452.9,NIFTY 25450 CE 24 FEB 26
2026-02-20 09:15:00+05:30,116.05,0.0,0.0,0.0,0.0,0.0,25452.9,NIFTY 25450 PE 24 FEB 26
2026-02-20 09:15:00+05:30,113.0,0.0,0.0,0.0,0.0,0.0,25452.9,NIFTY 25500 CE 24 FEB 26
2026-02-20 09:15:00+05:30,140.2,0.0,0.0,0.0,0.0,0.0,25452.9,NIFTY 25500 PE 24 FEB 26
2026-02-20 09:15:00+05:30,90.65,0.0,0.0,0.0,0.0,0.0,25452.9,NIFTY 25550 CE 24 FEB 26
2026-02-20 09:15:00+05:30,167.7,0.0,0.0,0.0,0.0,0.0,25452.9,NIFTY 25550 PE 24 FEB 26
2026-02-20 09:15:00+05:30,71.9,0.0,0.0,0.0,0.0,0.0,25452.9,NIFTY 25600 CE 24 FEB 26
2026-02-20 09:15:00+05:30,198.35,0.0,0.0,0.0,0.0,0.0,25452.9,NIFTY 25600 PE 24 FEB 26
2026-02-20 09:15:00+05:30,56.9,0.0,0.0,0.0,0.0,0.0,25452.9,NIFTY 25650 CE 24 FEB 26
2026-02-20 09:15:00+05:30,234.0,0.0,0.0,0.0,0.0,0.0,25452.9,NIFTY 25650 PE 24 FEB 26
2026-02-20 09:20:00+05:30,120.95,-18.35000000000001,21.98,-20.52,-5.73,0.0988,25431.55,NIFTY 25450 CE 24 FEB 26
2026-02-20 09:20:00+05:30,132.05,16.000000000000014,48.3,-21.94,4.58,0.2251,25431.55,NIFTY 25450 PE 24 FEB 26
2026-02-20 09:20:00+05:30,97.4,-15.599999999999994,11.67,-21.7,-4.7,0.1025,25431.55,NIFTY 25500 CE 24 FEB 26
2026-02-20 09:20:00+05:30,158.15,17.950000000000017,25.76,-19.7,5.1,0.2331,25431.55,NIFTY 25500 PE 24 FEB 26
2026-02-20 09:20:00+05:30,77.05,-13.600000000000009,13.99,-25.15,-4.26,0.108,25431.55,NIFTY 25550 CE 24 FEB 26
2026-02-20 09:20:00+05:30,187.95,20.25,15.79,-27.05,6.11,0.1504,25431.55,NIFTY 25550 PE 24 FEB 26
2026-02-20 09:20:00+05:30,60.95,-10.950000000000003,9.52,-33.53,-3.35,0.1768,25431.55,NIFTY 25600 CE 24 FEB 26
2026-02-20 09:20:00+05:30,221.9,23.55000000000001,3.91,-34.93,8.03,0.0792,25431.55,NIFTY 25600 PE 24 FEB 26
2026-02-20 09:20:00+05:30,47.95,-8.949999999999996,11.44,-41.84,-2.87,0.189,25431.55,NIFTY 25650 CE 24 FEB 26
2026-02-20 09:20:00+05:30,258.6,24.600000000000023,3.52,-48.02,8.37,0.0993,25431.55,NIFTY 25650 PE 24 FEB 26
2026-02-20 09:25:00+05:30,107.9,-13.049999999999997,15.24,-26.66,9.6,0.1139,25382.1,NIFTY 25450 CE 24 FEB 26
2026-02-20 09:25:00+05:30,160.05,28.0,6.7,41.99,1.99,0.0326,25382.1,NIFTY 25450 PE 24 FEB 26
2026-02-20 09:25:00+05:30,86.4,-11.0,10.94,-21.97,8.72,0.1375,25382.1,NIFTY 25500 CE 24 FEB 26
2026-02-20 09:25:00+05:30,189.15,31.0,3.18,22.6,2.15,0.0295,25382.1,NIFTY 25500 PE 24 FEB 26
